goal,keyword,pattern,course_count,score,weight,keyword_repeat
1,economic,\b(\d*)economic(\d*)\b,,,1,
1,social,\b(\d*)social(\d*)\b,,,1,
1,political,\b(\d*)political(\d*)\b,,,1,
1,policy,\b(\d*)policy(\d*)\b,,,1,
1,world,\b(\d*)world(\d*)\b,,,1,
1,history,\b(\d*)history(\d*)\b,,,1,
1,economy,\b(\d*)economy(\d*)\b,,,1,
1,global,\b(\d*)global(\d*)\b,,,1,
1,inequality,\b(\d*)inequality(\d*)\b,,,3,TRUE
1,people,\b(\d*)people(\d*)\b,,,1,
1,class,\b(\d*)class(\d*)\b,,,2,
1,income,\b(\d*)income(\d*)\b,,,1,TRUE
1,race,\b(\d*)race(\d*)\b,,,1,
1,debates,\b(\d*)debates(\d*)\b,,,1,
1,development,\b(\d*)development(\d*)\b,,,1,TRUE
1,gender,\b(\d*)gender(\d*)\b,,,1,
1,labor,\b(\d*)labor(\d*)\b,,,3,TRUE
1,migration,\b(\d*)migration(\d*)\b,,,1,TRUE
1,power,\b(\d*)power(\d*)\b,,,1,TRUE
1,society,\b(\d*)society(\d*)\b,,,1,
1,central,\b(\d*)central(\d*)\b,,,1,
1,countries,\b(\d*)countries(\d*)\b,,,1,
1,environmental,\b(\d*)environmental(\d*)\b,,,1,
1,globalization,\b(\d*)globalization(\d*)\b,,,1,TRUE
1,human,\b(\d*)human(\d*)\b,,,1,
1,institutions,\b(\d*)institutions(\d*)\b,,,1,TRUE
1,justice,\b(\d*)justice(\d*)\b,,,1,
1,wealth,\b(\d*)wealth(\d*)\b,,,2,TRUE
1,welfare,\b(\d*)welfare(\d*)\b,,,2,TRUE
1,health,\b(\d*)health(\d*)\b,,,1,
1,poor,\b(\d*)poor(\d*)\b,,,1,TRUE
1,developing,\b(\d*)developing(\d*)\b,,,1,TRUE
1,poverty,\b(\d*)poverty(\d*)\b,,,3,TRUE
1,security,\b(\d*)security(\d*)\b,,,1,
1,civil rights,\b(\d*)civil rights(\d*)\b,,,1,
1,climate change,\b(\d*)climate change(\d*)\b,,,1,
1,developing countries,\b(\d*)developing countries(\d*)\b,,,1,TRUE
1,political philosophy,\b(\d*)political philosophy(\d*)\b,,,1,
1,employment,\b(\d*)employment(\d*)\b,,,2,
1,inequalities,\b(\d*)inequalities(\d*)\b,,,1,
1,rights,\b(\d*)rights(\d*)\b,,,1,
