category,vendor,product,BI_pb,BI_certifications,spend,BI_local
Baked Goods,Hawthorne Valley Farm,"Bread, Challah - Organic",,USDA Certified Organic,39.75,Local Vendors/Local Products
Baked Goods,Hawthorne Valley Farm,"Bread, Sourdough House Milled Wheat - Organic",Simple Processed Foods,USDA Certified Organic,27.25,Local Vendors/Local Products
Baked Goods,Mi Tierra Tortillas,"Corn Tortilla, Conventional",,USDA Certified Organic,285,Local Vendors/Local Products
Baked Goods,Mi Tierra Tortillas,Masa Dough,,USDA Certified Organic,28.56,Local Vendors/Local Products
Dairy,Hawthorne Valley Farm,"Yogurt, Whole Milk - Plain - Organic",,USDA Certified Organic,152.28,Local Vendors/Local Products
Grocery/Staple,Maine Grains,"Grain, Oats Rolled - Organic",Minimal (or No) Processing,USDA Certified Organic,139.4,Local Vendors/Local Products
Grocery/Staple,Real Pickles,Kimchi - Organic,Simple Processed Foods,USDA Certified Organic,303,Local Vendors/Local Products
Grocery/Staple,South River Miso Company,"Miso, One Year - Azuki Bean",Simple Processed Foods,USDA Certified Organic,123.72,Local Vendors/Local Products
Grocery/Staple,South River Miso Company,"Miso, One Year - Sweet Tasting Brown Rice",Simple Processed Foods,USDA Certified Organic,121.44,Local Vendors/Local Products
Grocery/Staple,South River Miso Company,"Miso, Three Year - Three-Year Barley",Simple Processed Foods,USDA Certified Organic,97.8,Local Vendors/Local Products
Produce,Atlas Farm,"Basil, Greenhouse - Organic",Minimal (or No) Processing,USDA Certified Organic,53,Local Vendors/Local Products
Produce,Atlas Farm,"Potatoes, Sweet B Sized - Organic",Minimal (or No) Processing,USDA Certified Organic,40.5,Local Vendors/Local Products
Produce,Atlas Farm,"Potatoes, Yellow B Sized - Organic",Minimal (or No) Processing,USDA Certified Organic,35,Local Vendors/Local Products
Produce,Atlas Farm,"Squash, Butternut - Organic",Minimal (or No) Processing,USDA Certified Organic,42.82,Local Vendors/Local Products
Produce,Atlas Farm,"Tomatoes, Heirloom Seconds - Organic",Minimal (or No) Processing,USDA Certified Organic,29,Local Vendors/Local Products
Produce,Five College Farms,"Eggplant, Italian - Organic",Minimal (or No) Processing,USDA Certified Organic,66.5,Local Vendors/Local Products
Produce,Kitchen Garden Farm,"Bok Choy, Baby - Organic",Minimal (or No) Processing,USDA Certified Organic,40,Local Vendors/Local Products
Produce,Kitchen Garden Farm,Scallions - Organic,Minimal (or No) Processing,USDA Certified Organic,48,Local Vendors/Local Products
Produce,Markristo Farm,Arugula - Organic,Minimal (or No) Processing,USDA Certified Organic,25.5,Local Vendors/Local Products
Produce,MX Morningstar Farm,"Kale, Purple Curly - Organic",Minimal (or No) Processing,USDA Certified Organic,35,Local Vendors/Local Products
Produce,Mycoterra Farm,"Mushrooms, Oyster - Organic",Minimal (or No) Processing,USDA Certified Organic,39.04,Local Vendors/Local Products
Produce,Mycoterra Farm,"Mushrooms, Shiitake - Organic",Minimal (or No) Processing,USDA Certified Organic,208.89,Local Vendors/Local Products
Produce,Next Barn Over Farm,"Beets, Red - Organic",Minimal (or No) Processing,USDA Certified Organic,58.03,Local Vendors/Local Products
